geo_level,geo_name,metric,metric_value,race_or_ethnicity,number_of_employees,number_of_employer_firms
state,Wyoming,Firm Receipt Amount,"$1,000,000 or more",Asian,0,0
state,Delaware,Firm Receipt Amount,"$1,000,000 or more",Asian,9505,755
state,Wisconsin,Firm Receipt Amount,"$1,000,000 or more",Asian,24829,1523
state,Nevada,Firm Receipt Amount,"$1,000,000 or more",Asian,34731,1935
state,Alaska,Firm Receipt Amount,"$1,000,000 or more",Asian,0,0
state,Nebraska,Firm Receipt Amount,"$1,000,000 or more",Asian,0,0
state,Oklahoma,Firm Receipt Amount,"$1,000,000 or more",Asian,0,0
state,Georgia,Firm Receipt Amount,"$1,000,000 or more",Asian,128124,7785
state,Arizona,Firm Receipt Amount,"$1,000,000 or more",Asian,54152,2159
state,North Carolina,Firm Receipt Amount,"$1,000,000 or more",Asian,64048,3408
state,Colorado,Firm Receipt Amount,"$1,000,000 or more",Asian,31513,1788
state,Ohio,Firm Receipt Amount,"$1,000,000 or more",Asian,68546,3363
state,Connecticut,Firm Receipt Amount,"$1,000,000 or more",Asian,28480,2003
state,Arkansas,Firm Receipt Amount,"$1,000,000 or more",Asian,17237,883
state,Michigan,Firm Receipt Amount,"$1,000,000 or more",Asian,65078,2409
state,New Mexico,Firm Receipt Amount,"$1,000,000 or more",Asian,11361,402
state,Utah,Firm Receipt Amount,"$1,000,000 or more",Asian,12847,501
state,Texas,Firm Receipt Amount,"$1,000,000 or more",Asian,387639,19438
state,Kentucky,Firm Receipt Amount,"$1,000,000 or more",Asian,23165,1338
state,Kansas,Firm Receipt Amount,"$1,000,000 or more",Asian,17526,698
state,Vermont,Firm Receipt Amount,"$1,000,000 or more",Asian,0,0
state,Georgia,Firm Receipt Amount,"$10,000 to $24,999",Asian,281,328
state,New York,Firm Receipt Amount,"$10,000 to $24,999",Asian,1220,1943
state,Wyoming,Firm Receipt Amount,"$10,000 to $24,999",Asian,7,4
state,Idaho,Firm Receipt Amount,"$10,000 to $24,999",Asian,0,6
state,Rhode Island,Firm Receipt Amount,"$10,000 to $24,999",Asian,1,8
state,Illinois,Firm Receipt Amount,"$10,000 to $24,999",Asian,324,387
state,Virginia,Firm Receipt Amount,"$10,000 to $24,999",Asian,233,419
state,Arizona,Firm Receipt Amount,"$10,000 to $24,999",Asian,0,0
state,Massachusetts,Firm Receipt Amount,"$10,000 to $24,999",Asian,108,224
state,South Carolina,Firm Receipt Amount,"$10,000 to $24,999",Asian,0,0
state,Oregon,Firm Receipt Amount,"$10,000 to $24,999",Asian,0,0
state,North Carolina,Firm Receipt Amount,"$10,000 to $24,999",Asian,0,0
state,Kentucky,Firm Receipt Amount,"$10,000 to $24,999",Asian,0,0
national,United States,Firm Receipt Amount,"$10,000 to $24,999",Asian,7816,10497
state,Mississippi,Firm Receipt Amount,"$10,000 to $24,999",Asian,0,0
state,Texas,Firm Receipt Amount,"$10,000 to $24,999",Asian,412,787
state,Connecticut,Firm Receipt Amount,"$10,000 to $24,999",Asian,21,33
state,South Dakota,Firm Receipt Amount,"$10,000 to $24,999",Asian,2,7
state,West Virginia,Firm Receipt Amount,"$10,000 to $24,999",Asian,0,0
state,Tennessee,Firm Receipt Amount,"$10,000 to $24,999",Asian,8,25
state,Oklahoma,Firm Receipt Amount,"$10,000 to $24,999",Asian,0,0
state,Maine,Firm Receipt Amount,"$10,000 to $24,999",Asian,0,0
state,New Jersey,Firm Receipt Amount,"$10,000 to $24,999",Asian,449,337
state,New Mexico,Firm Receipt Amount,"$10,000 to $24,999",Asian,0,0
state,District of Columbia,Firm Receipt Amount,"$10,000 to $24,999",Asian,0,0
state,Missouri,Firm Receipt Amount,"$10,000 to $24,999",Asian,0,0
state,Arkansas,Firm Receipt Amount,"$10,000 to $24,999",Asian,0,11
state,Utah,Firm Receipt Amount,"$10,000 to $24,999",Asian,9,27
state,Indiana,Firm Receipt Amount,"$10,000 to $24,999",Asian,8,19
state,Delaware,Firm Receipt Amount,"$10,000 to $24,999",Asian,244,30
state,Minnesota,Firm Receipt Amount,"$10,000 to $24,999",Asian,0,0
state,Alabama,Firm Receipt Amount,"$10,000 to $24,999",Asian,0,0
state,Louisiana,Firm Receipt Amount,"$10,000 to $24,999",Asian,0,0
state,Ohio,Firm Receipt Amount,"$10,000 to $24,999",Asian,112,229
state,Washington,Firm Receipt Amount,"$10,000 to $24,999",Asian,317,194
state,Maryland,Firm Receipt Amount,"$10,000 to $24,999",Asian,108,184
state,Iowa,Firm Receipt Amount,"$10,000 to $24,999",Asian,0,0
state,California,Firm Receipt Amount,"$10,000 to $24,999",Asian,1402,2595
state,North Dakota,Firm Receipt Amount,"$10,000 to $24,999",Asian,0,0
state,Pennsylvania,Firm Receipt Amount,"$10,000 to $24,999",Asian,352,258
state,Kansas,Firm Receipt Amount,"$10,000 to $24,999",Asian,0,0
state,Nebraska,Firm Receipt Amount,"$10,000 to $24,999",Asian,0,6
state,Wisconsin,Firm Receipt Amount,"$10,000 to $24,999",Asian,0,0
state,Montana,Firm Receipt Amount,"$10,000 to $24,999",Asian,0,0
state,Michigan,Firm Receipt Amount,"$10,000 to $24,999",Asian,0,0
state,New Hampshire,Firm Receipt Amount,"$10,000 to $24,999",Asian,2,10
state,Hawaii,Firm Receipt Amount,"$10,000 to $24,999",Asian,255,191
state,Nevada,Firm Receipt Amount,"$10,000 to $24,999",Asian,138,162
state,Florida,Firm Receipt Amount,"$10,000 to $24,999",Asian,488,681
state,Colorado,Firm Receipt Amount,"$10,000 to $24,999",Asian,0,0
state,Alaska,Firm Receipt Amount,"$10,000 to $24,999",Asian,2,4
state,Maine,Firm Receipt Amount,"$25,000 to $49,999",Asian,12,12
state,Georgia,Firm Receipt Amount,"$25,000 to $49,999",Asian,597,573
state,Iowa,Firm Receipt Amount,"$25,000 to $49,999",Asian,4,11
state,Delaware,Firm Receipt Amount,"$25,000 to $49,999",Asian,0,0
state,Nebraska,Firm Receipt Amount,"$25,000 to $49,999",Asian,0,0
state,California,Firm Receipt Amount,"$25,000 to $49,999",Asian,5510,6611
state,Virginia,Firm Receipt Amount,"$25,000 to $49,999",Asian,353,444
state,South Dakota,Firm Receipt Amount,"$25,000 to $49,999",Asian,0,0
state,Louisiana,Firm Receipt Amount,"$25,000 to $49,999",Asian,300,131
state,Kentucky,Firm Receipt Amount,"$25,000 to $49,999",Asian,0,0
state,Tennessee,Firm Receipt Amount,"$25,000 to $49,999",Asian,0,0
state,Idaho,Firm Receipt Amount,"$25,000 to $49,999",Asian,0,0
state,West Virginia,Firm Receipt Amount,"$25,000 to $49,999",Asian,0,0
state,Oklahoma,Firm Receipt Amount,"$25,000 to $49,999",Asian,15,23
state,Ohio,Firm Receipt Amount,"$25,000 to $49,999",Asian,151,259
state,New Hampshire,Firm Receipt Amount,"$25,000 to $49,999",Asian,0,0
state,Rhode Island,Firm Receipt Amount,"$25,000 to $49,999",Asian,43,10
state,Maryland,Firm Receipt Amount,"$25,000 to $49,999",Asian,332,408
state,Wyoming,Firm Receipt Amount,"$25,000 to $49,999",Asian,0,0
state,Connecticut,Firm Receipt Amount,"$25,000 to $49,999",Asian,144,137
state,Minnesota,Firm Receipt Amount,"$25,000 to $49,999",Asian,459,97
state,South Carolina,Firm Receipt Amount,"$25,000 to $49,999",Asian,7,55
state,North Carolina,Firm Receipt Amount,"$25,000 to $49,999",Asian,324,280
state,Arkansas,Firm Receipt Amount,"$25,000 to $49,999",Asian,0,0
state,Missouri,Firm Receipt Amount,"$25,000 to $49,999",Asian,219,230
state,Colorado,Firm Receipt Amount,"$25,000 to $49,999",Asian,120,115
state,New Jersey,Firm Receipt Amount,"$25,000 to $49,999",Asian,914,702
state,Florida,Firm Receipt Amount,"$25,000 to $49,999",Asian,875,950
state,Pennsylvania,Firm Receipt Amount,"$25,000 to $49,999",Asian,941,632
state,Illinois,Firm Receipt Amount,"$25,000 to $49,999",Asian,491,739
state,Massachusetts,Firm Receipt Amount,"$25,000 to $49,999",Asian,0,0
state,North Dakota,Firm Receipt Amount,"$25,000 to $49,999",Asian,0,0
state,Oregon,Firm Receipt Amount,"$25,000 to $49,999",Asian,0,0
state,Wisconsin,Firm Receipt Amount,"$25,000 to $49,999",Asian,0,0
state,Nevada,Firm Receipt Amount,"$25,000 to $49,999",Asian,270,275
state,Alabama,Firm Receipt Amount,"$25,000 to $49,999",Asian,0,0
state,Texas,Firm Receipt Amount,"$25,000 to $49,999",Asian,2096,1999
state,Kansas,Firm Receipt Amount,"$25,000 to $49,999",Asian,130,113
state,Vermont,Firm Receipt Amount,"$25,000 to $49,999",Asian,0,4
state,New Mexico,Firm Receipt Amount,"$25,000 to $49,999",Asian,0,0
national,United States,Firm Receipt Amount,"$25,000 to $49,999",Asian,19884,20943
state,Arizona,Firm Receipt Amount,"$25,000 to $49,999",Asian,266,334
state,Hawaii,Firm Receipt Amount,"$25,000 to $49,999",Asian,272,299
state,Mississippi,Firm Receipt Amount,"$25,000 to $49,999",Asian,58,23
state,Indiana,Firm Receipt Amount,"$25,000 to $49,999",Asian,0,0
state,Michigan,Firm Receipt Amount,"$25,000 to $49,999",Asian,223,230
state,District of Columbia,Firm Receipt Amount,"$25,000 to $49,999",Asian,12,15
state,New York,Firm Receipt Amount,"$25,000 to $49,999",Asian,2660,3218
state,Utah,Firm Receipt Amount,"$25,000 to $49,999",Asian,38,51
state,Washington,Firm Receipt Amount,"$25,000 to $49,999",Asian,793,450
state,Montana,Firm Receipt Amount,"$25,000 to $49,999",Asian,0,0
state,Alaska,Firm Receipt Amount,"$25,000 to $49,999",Asian,2,10
state,Nebraska,Firm Receipt Amount,"$50,000 to $99,999",Asian,4,15
state,Mississippi,Firm Receipt Amount,"$50,000 to $99,999",Asian,0,0
state,Texas,Firm Receipt Amount,"$50,000 to $99,999",Asian,4165,3814
state,Nevada,Firm Receipt Amount,"$50,000 to $99,999",Asian,677,452
state,Florida,Firm Receipt Amount,"$50,000 to $99,999",Asian,2553,2530
state,Arizona,Firm Receipt Amount,"$50,000 to $99,999",Asian,1338,547
state,Montana,Firm Receipt Amount,"$50,000 to $99,999",Asian,0,0
state,Massachusetts,Firm Receipt Amount,"$50,000 to $99,999",Asian,1304,868
state,Maine,Firm Receipt Amount,"$50,000 to $99,999",Asian,2,13
state,Colorado,Firm Receipt Amount,"$50,000 to $99,999",Asian,0,0
state,Georgia,Firm Receipt Amount,"$50,000 to $99,999",Asian,1871,1770
state,New Jersey,Firm Receipt Amount,"$50,000 to $99,999",Asian,2776,2397
state,Kentucky,Firm Receipt Amount,"$50,000 to $99,999",Asian,0,0
state,Alabama,Firm Receipt Amount,"$50,000 to $99,999",Asian,208,283
state,Utah,Firm Receipt Amount,"$50,000 to $99,999",Asian,62,83
state,Oregon,Firm Receipt Amount,"$50,000 to $99,999",Asian,981,461
national,United States,Firm Receipt Amount,"$50,000 to $99,999",Asian,54766,44078
state,Vermont,Firm Receipt Amount,"$50,000 to $99,999",Asian,2,8
state,Louisiana,Firm Receipt Amount,"$50,000 to $99,999",Asian,316,275
state,New Hampshire,Firm Receipt Amount,"$50,000 to $99,999",Asian,4,11
state,Alaska,Firm Receipt Amount,"$50,000 to $99,999",Asian,0,0
state,Wisconsin,Firm Receipt Amount,"$50,000 to $99,999",Asian,0,0
state,Tennessee,Firm Receipt Amount,"$50,000 to $99,999",Asian,288,176
state,District of Columbia,Firm Receipt Amount,"$50,000 to $99,999",Asian,106,138
state,North Dakota,Firm Receipt Amount,"$50,000 to $99,999",Asian,10,10
state,Ohio,Firm Receipt Amount,"$50,000 to $99,999",Asian,652,492
state,Rhode Island,Firm Receipt Amount,"$50,000 to $99,999",Asian,0,0
state,Maryland,Firm Receipt Amount,"$50,000 to $99,999",Asian,619,654
state,South Dakota,Firm Receipt Amount,"$50,000 to $99,999",Asian,6,8
state,California,Firm Receipt Amount,"$50,000 to $99,999",Asian,12583,11209
state,Wyoming,Firm Receipt Amount,"$50,000 to $99,999",Asian,0,0
state,Connecticut,Firm Receipt Amount,"$50,000 to $99,999",Asian,703,502
state,Kansas,Firm Receipt Amount,"$50,000 to $99,999",Asian,302,208
state,New Mexico,Firm Receipt Amount,"$50,000 to $99,999",Asian,0,0
state,Minnesota,Firm Receipt Amount,"$50,000 to $99,999",Asian,777,465
state,West Virginia,Firm Receipt Amount,"$50,000 to $99,999",Asian,0,0
state,South Carolina,Firm Receipt Amount,"$50,000 to $99,999",Asian,0,0
state,North Carolina,Firm Receipt Amount,"$50,000 to $99,999",Asian,786,675
state,Arkansas,Firm Receipt Amount,"$50,000 to $99,999",Asian,0,0
state,Delaware,Firm Receipt Amount,"$50,000 to $99,999",Asian,176,118
state,Virginia,Firm Receipt Amount,"$50,000 to $99,999",Asian,1606,1313
state,Iowa,Firm Receipt Amount,"$50,000 to $99,999",Asian,162,105
state,Idaho,Firm Receipt Amount,"$50,000 to $99,999",Asian,0,0
state,Oklahoma,Firm Receipt Amount,"$50,000 to $99,999",Asian,285,176
state,Hawaii,Firm Receipt Amount,"$50,000 to $99,999",Asian,661,623
state,Missouri,Firm Receipt Amount,"$50,000 to $99,999",Asian,266,205
state,New York,Firm Receipt Amount,"$50,000 to $99,999",Asian,9698,6797
state,Michigan,Firm Receipt Amount,"$50,000 to $99,999",Asian,885,436
state,Indiana,Firm Receipt Amount,"$50,000 to $99,999",Asian,234,295
state,Illinois,Firm Receipt Amount,"$50,000 to $99,999",Asian,2263,2008
state,Washington,Firm Receipt Amount,"$50,000 to $99,999",Asian,1643,1068
state,Pennsylvania,Firm Receipt Amount,"$50,000 to $99,999",Asian,1575,1078
state,Idaho,Firm Receipt Amount,"$100,000 to $249,999",Asian,0,0
state,Texas,Firm Receipt Amount,"$100,000 to $249,999",Asian,21453,10030
state,Michigan,Firm Receipt Amount,"$100,000 to $249,999",Asian,3057,1530
state,Iowa,Firm Receipt Amount,"$100,000 to $249,999",Asian,1355,515
state,Arkansas,Firm Receipt Amount,"$100,000 to $249,999",Asian,627,411
state,Hawaii,Firm Receipt Amount,"$100,000 to $249,999",Asian,2720,1894
state,Rhode Island,Firm Receipt Amount,"$100,000 to $249,999",Asian,0,0
state,Kansas,Firm Receipt Amount,"$100,000 to $249,999",Asian,1197,475
state,District of Columbia,Firm Receipt Amount,"$100,000 to $249,999",Asian,0,0
state,Delaware,Firm Receipt Amount,"$100,000 to $249,999",Asian,526,373
state,Utah,Firm Receipt Amount,"$100,000 to $249,999",Asian,1243,462
state,Indiana,Firm Receipt Amount,"$100,000 to $249,999",Asian,1125,666
state,New Mexico,Firm Receipt Amount,"$100,000 to $249,999",Asian,0,0
state,Ohio,Firm Receipt Amount,"$100,000 to $249,999",Asian,3171,1407
state,Connecticut,Firm Receipt Amount,"$100,000 to $249,999",Asian,3100,1087
state,Wyoming,Firm Receipt Amount,"$100,000 to $249,999",Asian,301,140
state,California,Firm Receipt Amount,"$100,000 to $249,999",Asian,53504,31119
state,Louisiana,Firm Receipt Amount,"$100,000 to $249,999",Asian,3302,1238
state,South Dakota,Firm Receipt Amount,"$100,000 to $249,999",Asian,0,0
state,Kentucky,Firm Receipt Amount,"$100,000 to $249,999",Asian,1223,468
state,Illinois,Firm Receipt Amount,"$100,000 to $249,999",Asian,7426,4502
state,Massachusetts,Firm Receipt Amount,"$100,000 to $249,999",Asian,4505,2152
state,Tennessee,Firm Receipt Amount,"$100,000 to $249,999",Asian,1918,710
state,North Carolina,Firm Receipt Amount,"$100,000 to $249,999",Asian,4258,2095
national,United States,Firm Receipt Amount,"$100,000 to $249,999",Asian,226738,117500
state,Pennsylvania,Firm Receipt Amount,"$100,000 to $249,999",Asian,7242,3458
state,Vermont,Firm Receipt Amount,"$100,000 to $249,999",Asian,0,0
state,Washington,Firm Receipt Amount,"$100,000 to $249,999",Asian,6846,3335
state,Georgia,Firm Receipt Amount,"$100,000 to $249,999",Asian,7883,4520
state,Colorado,Firm Receipt Amount,"$100,000 to $249,999",Asian,1716,1093
state,Nevada,Firm Receipt Amount,"$100,000 to $249,999",Asian,1748,1041
state,Minnesota,Firm Receipt Amount,"$100,000 to $249,999",Asian,2694,947
state,New Jersey,Firm Receipt Amount,"$100,000 to $249,999",Asian,11617,6038
state,Virginia,Firm Receipt Amount,"$100,000 to $249,999",Asian,9231,4222
state,Alaska,Firm Receipt Amount,"$100,000 to $249,999",Asian,0,0
state,Alabama,Firm Receipt Amount,"$100,000 to $249,999",Asian,2046,591
state,Nebraska,Firm Receipt Amount,"$100,000 to $249,999",Asian,709,279
state,Maine,Firm Receipt Amount,"$100,000 to $249,999",Asian,0,0
state,Florida,Firm Receipt Amount,"$100,000 to $249,999",Asian,9171,5637
state,North Dakota,Firm Receipt Amount,"$100,000 to $249,999",Asian,160,75
state,Wisconsin,Firm Receipt Amount,"$100,000 to $249,999",Asian,1342,564
state,Missouri,Firm Receipt Amount,"$100,000 to $249,999",Asian,1760,613
state,West Virginia,Firm Receipt Amount,"$100,000 to $249,999",Asian,0,0
state,Oregon,Firm Receipt Amount,"$100,000 to $249,999",Asian,2024,1025
state,Montana,Firm Receipt Amount,"$100,000 to $249,999",Asian,0,0
state,Maryland,Firm Receipt Amount,"$100,000 to $249,999",Asian,4456,2264
state,Oklahoma,Firm Receipt Amount,"$100,000 to $249,999",Asian,1535,615
state,New Hampshire,Firm Receipt Amount,"$100,000 to $249,999",Asian,0,0
state,New York,Firm Receipt Amount,"$100,000 to $249,999",Asian,30528,15898
state,Arizona,Firm Receipt Amount,"$100,000 to $249,999",Asian,2823,1477
state,South Carolina,Firm Receipt Amount,"$100,000 to $249,999",Asian,1586,756
state,Mississippi,Firm Receipt Amount,"$100,000 to $249,999",Asian,0,0
state,West Virginia,Firm Receipt Amount,"$250,000 to $499,999",Asian,473,145
state,Kansas,Firm Receipt Amount,"$250,000 to $499,999",Asian,3306,552
state,Maryland,Firm Receipt Amount,"$250,000 to $499,999",Asian,8603,2638
state,Massachusetts,Firm Receipt Amount,"$250,000 to $499,999",Asian,9622,2832
state,Rhode Island,Firm Receipt Amount,"$250,000 to $499,999",Asian,721,176
